segment,n,toward_model_rate,mean_movement_pp,label,z_vs_chance,corr_residual_movement,flat_markets
overall,165,0.4848,-0.068,RESEARCH_ONLY,-0.389,0.1455,34.0
band <-10,18,0.6667,-1.328,INSUFFICIENT_SAMPLE,,,
band -10:-6,21,0.5238,-0.05,INSUFFICIENT_SAMPLE,,,
band -6:-4,21,0.4762,-0.148,INSUFFICIENT_SAMPLE,,,
band -4:-2,25,0.6,-0.857,INSUFFICIENT_SAMPLE,,,
band -2:+2,28,0.3571,0.835,INSUFFICIENT_SAMPLE,,,
band +2:+4,16,0.5,0.504,INSUFFICIENT_SAMPLE,,,
band +4:+6,14,0.2857,-0.237,INSUFFICIENT_SAMPLE,,,
band +6:+10,15,0.4667,0.357,INSUFFICIENT_SAMPLE,,,
band >+10,7,0.4286,0.686,INSUFFICIENT_SAMPLE,,,
model_type new_format,108,0.5556,-0.127,RESEARCH_ONLY,,,
model_type standard,57,0.3509,0.044,EARLY_SIGNAL,,,
