feature,n,non_null,coverage_pct,missing_pct,mean,p05,p95,generated_at
n_books,44276,35441,80.05,19.95,8.9519,3.0,15.0,2026-09-03T22:39:46Z
market_prob_std,44276,34170,77.17,22.83,0.0086,0.0019,0.0175,2026-09-03T22:39:46Z
market_prob_range,44276,0,0.0,100.0,,,,2026-09-03T22:39:46Z
market_move_pp,44276,44276,100.0,0.0,0.1412,-3.97,4.25,2026-09-03T22:39:46Z
move_from_open_pp,44276,43652,98.59,1.41,0.1212,-2.84,3.4745,2026-09-03T22:39:46Z
last_move_pp,44276,43652,98.59,1.41,0.0063,-0.18,0.21,2026-09-03T22:39:46Z
n_price_changes,44276,44276,100.0,0.0,3.3218,0.0,12.0,2026-09-03T22:39:46Z
time_since_last_change_min,44276,32387,73.15,26.85,920.4202,39.9,3128.2,2026-09-03T22:39:46Z
reversal_count,44276,44276,100.0,0.0,1.5516,0.0,8.0,2026-09-03T22:39:46Z
velocity_1h,44276,27151,61.32,38.68,0.0016,-0.1845,0.1974,2026-09-03T22:39:46Z
largest_move_1h_pp,44276,27151,61.32,38.68,0.0694,0.0,0.43,2026-09-03T22:39:46Z
range_1h_pp,44276,27151,61.32,38.68,0.0713,0.0,0.44,2026-09-03T22:39:46Z
window_span_1h_min,44276,35510,80.2,19.8,44.8429,21.2667,59.1833,2026-09-03T22:39:46Z
velocity_3h,44276,35255,79.63,20.37,-0.0002,-0.1963,0.2111,2026-09-03T22:39:46Z
largest_move_3h_pp,44276,35255,79.63,20.37,0.174,0.0,1.01,2026-09-03T22:39:46Z
range_3h_pp,44276,35255,79.63,20.37,0.1915,0.0,1.1,2026-09-03T22:39:46Z
window_span_3h_min,44276,38933,87.93,12.07,146.785,54.4833,178.7,2026-09-03T22:39:46Z
velocity_6h,44276,32144,72.6,27.4,0.001,-0.1743,0.186,2026-09-03T22:39:46Z
largest_move_6h_pp,44276,32144,72.6,27.4,0.3087,0.0,1.48,2026-09-03T22:39:46Z
range_6h_pp,44276,32144,72.6,27.4,0.3569,0.0,1.75,2026-09-03T22:39:46Z
window_span_6h_min,44276,40663,91.84,8.16,273.0762,55.0333,358.6,2026-09-03T22:39:46Z
market_acceleration,44276,24892,56.22,43.78,0.0001,-0.2849,0.287,2026-09-03T22:39:46Z
velocity_30m,44276,0,0.0,100.0,,,,2026-09-03T22:39:46Z
