segment,unit,n_fixtures,n,toward_pct,toward_ci_lo,toward_ci_hi,placebo_anchor_pct,edge_vs_placebo_pp,placebo_shuffled_pct,placebo_flipped_pct,mean_signed_move_pp,median_signed_move_pp,mean_clv_pct,median_clv_pct,clv_ci_lo,clv_ci_hi,positive_clv_pct,median_abs_residual_pp,sample_status,generated_at
entry=earliest,fixture,928,928,56.68,53.47,59.84,58.73,-2.05,49.35,43.32,0.602,0.57,0.37,0.0,-0.051,0.825,46.66,4.37,VALIDATABLE,2026-09-22T18:09:51Z
entry=~24h,fixture,753,753,51.79,48.22,55.34,51.39,0.4,47.81,48.21,0.186,0.23,-0.319,0.0,-0.659,0.022,32.8,4.07,VALIDATABLE,2026-09-22T18:09:51Z
entry=~12h,fixture,641,641,50.7,46.84,54.56,48.83,1.87,50.08,49.3,0.088,0.2,-0.202,0.0,-0.54,0.12,29.49,4.17,VALIDATABLE,2026-09-22T18:09:51Z
entry=~6h,fixture,581,581,48.36,44.33,52.43,47.5,0.86,46.64,51.64,0.023,-0.23,-0.178,0.0,-0.468,0.123,25.99,4.07,VALIDATABLE,2026-09-22T18:09:51Z
entry=~3h,fixture,553,553,49.91,45.76,54.06,47.56,2.35,49.19,50.09,0.018,-0.2,-0.193,0.0,-0.483,0.102,25.68,4.1,VALIDATABLE,2026-09-22T18:09:51Z
entry=~1h,fixture,516,516,49.61,45.32,53.91,48.64,0.97,51.94,50.39,0.045,-0.2,-0.092,0.0,-0.41,0.206,25.78,4.08,VALIDATABLE,2026-09-22T18:09:51Z
model=new_format,fixture,511,511,57.93,53.6,62.13,59.3,-1.37,49.71,42.07,0.64,0.76,0.225,0.0,-0.367,0.836,46.58,4.6,VALIDATABLE,2026-09-22T18:09:51Z
model=standard,fixture,417,417,55.16,50.36,59.86,55.16,0.0,52.28,44.84,0.556,0.42,0.548,0.0,-0.105,1.193,46.76,4.22,RESEARCH,2026-09-22T18:09:51Z
trend=MARKET_FLAT,fixture,169,169,55.03,47.5,62.34,55.62,-0.59,47.93,44.97,0.514,0.57,-0.129,0.0,-1.274,0.942,40.83,4.79,RESEARCH,2026-09-22T18:09:51Z
trend=UNKNOWN,fixture,682,682,58.8,55.06,62.43,59.38,-0.59,52.05,41.2,0.731,0.715,0.689,0.0,0.186,1.183,49.56,4.25,VALIDATABLE,2026-09-22T18:09:51Z
trend=WOWZA_ALIGNS_WITH_TREND,fixture,42,42,26.19,15.3,41.07,47.62,-21.43,35.71,73.81,-1.139,-1.19,-2.03,-1.973,-4.542,0.521,28.57,5.26,INSUFFICIENT_SAMPLE,2026-09-22T18:09:51Z
trend=WOWZA_OPPOSES_TREND,fixture,35,35,60.0,43.57,74.45,51.43,8.57,48.57,40.0,0.611,0.81,-0.551,0.0,-2.606,1.73,40.0,4.43,INSUFFICIENT_SAMPLE,2026-09-22T18:09:51Z
abs_residual=0-2,fixture,221,221,53.39,46.81,59.86,56.56,-3.17,47.06,46.61,0.385,0.42,0.562,0.0,-0.286,1.382,47.51,1.02,RESEARCH,2026-09-22T18:09:51Z
abs_residual=10+,fixture,136,136,59.56,51.16,67.43,54.41,5.15,53.68,40.44,1.021,0.715,0.257,0.0,-1.16,1.675,45.59,12.26,EARLY_SIGNAL,2026-09-22T18:09:51Z
abs_residual=2-4,fixture,206,206,57.77,50.94,64.31,61.17,-3.4,51.94,42.23,0.506,0.645,0.546,0.481,-0.377,1.445,50.97,3.05,RESEARCH,2026-09-22T18:09:51Z
abs_residual=4-6,fixture,158,158,53.16,45.4,60.78,52.53,0.63,53.16,46.84,0.61,0.47,0.094,0.0,-0.898,1.055,42.41,4.89,RESEARCH,2026-09-22T18:09:51Z
abs_residual=6-8,fixture,118,118,64.41,55.44,72.47,65.25,-0.85,54.24,35.59,1.129,0.835,0.695,0.0,-0.491,1.825,44.07,6.68,EARLY_SIGNAL,2026-09-22T18:09:51Z
abs_residual=8-10,fixture,89,89,53.93,43.63,63.91,62.92,-8.99,38.2,46.07,0.011,0.36,-0.284,0.0,-1.841,1.347,47.19,8.9,EARLY_SIGNAL,2026-09-22T18:09:51Z
dispersion=tight,fixture,256,256,54.3,48.18,60.29,55.47,-1.17,47.27,45.7,0.604,0.42,-0.032,0.0,-0.866,0.871,44.53,4.25,RESEARCH,2026-09-22T18:09:51Z
dispersion=mid,fixture,254,254,57.09,50.94,63.02,61.42,-4.33,50.0,42.91,0.629,0.435,0.518,0.0,-0.291,1.323,44.88,4.5,RESEARCH,2026-09-22T18:09:51Z
dispersion=dispersed,fixture,255,255,60.0,53.88,65.82,59.61,0.39,42.75,40.0,0.594,0.9,0.809,0.952,-0.008,1.641,52.94,4.35,RESEARCH,2026-09-22T18:09:51Z
