prior_window_min,future_window_min,model,term,coef,ci_lo,ci_hi,p_value,n_obs,n_fixtures,excludes_zero,sample_status,calc_version
720,720,residual only,intercept,0.045742648748048044,0.02218205068984049,0.0718706917476052,0.0,51808,1030,True,VALIDATABLE,1.0.0
720,720,residual only,residual_pp,0.015305856305385538,0.009169728737705985,0.02284537200518187,0.0,51808,1030,True,VALIDATABLE,1.0.0
720,720,+ momentum,intercept,0.03816436133794415,0.0048993043649009855,0.07142729956802013,0.028,35253,1010,True,VALIDATABLE,1.0.0
720,720,+ momentum,residual_pp,0.009067709239216737,0.0037925171054754786,0.014867614968495228,0.0,35253,1010,True,VALIDATABLE,1.0.0
720,720,+ momentum,prev_move_pp,-0.32707928707529965,-0.52960447803533,-0.08851521065939445,0.0,35253,1010,True,VALIDATABLE,1.0.0
720,720,+ momentum,velocity_pp_h,-0.6389778662429351,-1.333656677261091,-0.10439009376898213,0.024,35253,1010,True,VALIDATABLE,1.0.0
720,720,+ momentum,acceleration_pp_h2,4.524658859747139,-0.958854207856489,9.842051511552613,0.122,35253,1010,False,VALIDATABLE,1.0.0
720,720,+ full controls,intercept,0.35826499721522326,0.12200711453453628,0.547498039962437,0.002,29948,981,True,VALIDATABLE,1.0.0
720,720,+ full controls,residual_pp,0.01414442620919211,0.006693725190354113,0.020513108158611328,0.0,29948,981,True,VALIDATABLE,1.0.0
720,720,+ full controls,prev_move_pp,-0.34113131813320374,-0.5189281174241717,-0.10746378981516475,0.0,29948,981,True,VALIDATABLE,1.0.0
720,720,+ full controls,velocity_pp_h,-0.601538401225384,-1.3541846298236935,-0.08145583340075409,0.026,29948,981,True,VALIDATABLE,1.0.0
720,720,+ full controls,acceleration_pp_h2,5.007552959880638,-0.8467982175149735,10.284214291286595,0.12,29948,981,False,VALIDATABLE,1.0.0
720,720,+ full controls,hours_to_kickoff,-0.001342938212917949,-0.002466389150918132,-0.00024460946431611216,0.016,29948,981,True,VALIDATABLE,1.0.0
720,720,+ full controls,dispersion,-21.245488482947593,-37.03980576783537,-0.6100853806473272,0.036,29948,981,True,VALIDATABLE,1.0.0
720,720,+ section 9 controls,intercept,0.18851133579860835,-0.2966186978192508,0.7058741236429946,0.428,14644,320,False,RESEARCH,1.0.0
720,720,+ section 9 controls,residual_pp,0.008701948841170945,-0.0021388477988819256,0.020949790748157567,0.138,14644,320,False,RESEARCH,1.0.0
720,720,+ section 9 controls,prev_move_pp,-0.1287095171536515,-0.2328207776203335,-0.04108702160099913,0.008,14644,320,True,RESEARCH,1.0.0
720,720,+ section 9 controls,velocity_pp_h,-0.009081724830327443,-0.052944192970733064,0.026012856332105545,0.578,14644,320,False,RESEARCH,1.0.0
720,720,+ section 9 controls,acceleration_pp_h2,2.550595383175033,-3.4336484099086197,9.23620394233772,0.394,14644,320,False,RESEARCH,1.0.0
720,720,+ section 9 controls,hours_to_kickoff,-0.0010357789504820015,-0.002574429427780107,0.0003085687752055327,0.146,14644,320,False,RESEARCH,1.0.0
720,720,+ section 9 controls,dispersion,10.556247011028894,-2.520230403259743,23.65438375510582,0.106,14644,320,False,RESEARCH,1.0.0
720,720,+ section 9 controls,move_30m,-0.10619166696043428,-0.19191836716631303,-0.007531044256901945,0.032,14644,320,True,RESEARCH,1.0.0
720,720,+ section 9 controls,move_3h,-0.027245174490251052,-0.15883257891236982,0.07803856899472346,0.578,14644,320,False,RESEARCH,1.0.0
720,720,+ section 9 controls,velocity_1h,0.02588064180891268,-0.10707303234014835,0.14729590337838705,0.78,14644,320,False,RESEARCH,1.0.0
720,720,+ section 9 controls,direction_streak,-0.015237849472723743,-0.05732731852923689,0.03212439874769632,0.644,14644,320,False,RESEARCH,1.0.0
720,720,+ section 9 controls,dispersion_change,-10.677468041124165,-32.780917487750436,12.767767061112506,0.434,14644,320,False,RESEARCH,1.0.0
720,720,+ section 9 controls,n_books,-0.00800796448158098,-0.021002613651028332,0.004905151425518853,0.216,14644,320,False,RESEARCH,1.0.0
720,720,+ section 9 controls,current_probability,-0.11904229587393692,-0.9512916675235176,0.7010373688940356,0.778,14644,320,False,RESEARCH,1.0.0
