segment,unit,n_obs,n_fixtures,n_moved,toward_rate,toward_ci_lo,toward_ci_hi,z_vs_chance,p_value,mean_signed_move_pp,median_signed_move_pp,signed_ci_lo,signed_ci_hi,mean_abs_move_pp,mean_window_min,signed_move_per_hour_pp,mean_move_when_correct_pp,mean_move_when_wrong_pp,p_move_ge_05pp,p_move_ge_1pp,p_move_ge_2pp,n_clv,mean_clv_pct,median_clv_pct,pct_positive_clv,mean_entry_odds,mean_close_odds,sample_status
Argentina Primera Division,fixture,59,59,51,0.5686,0.4327,0.695,0.98,0.32699,0.4231,0.38,-0.3845,1.2308,2.2839,7763.0,0.0033,2.3803,-2.1568,0.902,0.7255,0.4118,51,0.4246,1.2658,0.5294,2.3076,2.3204,EARLY_SIGNAL
Austrian Bundesliga,fixture,22,22,21,0.5238,0.3237,0.7166,0.218,0.82726,1.1595,0.49,-1.25,3.5691,2.8824,7972.5,0.0087,3.8582,-1.809,0.9048,0.619,0.4762,21,-2.0738,0.0,0.381,2.05,2.1086,INSUFFICIENT_SAMPLE
Brazil Serie A,fixture,53,53,43,0.6279,0.4786,0.7562,1.677,0.09345,0.9056,1.12,-0.266,2.0771,3.2991,8683.2,0.0063,3.3481,-3.2163,1.0,0.8837,0.6279,43,2.6235,3.8462,0.6744,2.03,1.9872,EARLY_SIGNAL
Bundesliga 2,fixture,36,36,36,0.4167,0.2714,0.578,-1.0,0.31731,-0.1119,-0.55,-1.1546,0.9307,2.5747,7561.7,-0.0009,2.9553,-2.3029,0.9444,0.7778,0.5833,36,-1.3668,-1.2881,0.3889,2.1636,2.2158,INSUFFICIENT_SAMPLE
Championship,fixture,84,84,75,0.56,0.4475,0.6667,1.039,0.2987,0.6083,0.99,-0.2104,1.427,2.8459,7655.6,0.0048,3.084,-2.5427,0.96,0.8533,0.5067,75,0.8752,1.0811,0.5333,1.952,1.9457,EARLY_SIGNAL
China Super League,fixture,29,29,24,0.375,0.2116,0.5729,-1.225,0.22067,-0.1929,-0.68,-1.4414,1.0556,2.3279,7325.9,-0.0016,2.8467,-2.0167,0.9583,0.6667,0.4167,24,-1.5647,-2.2305,0.2917,2.3917,2.4479,INSUFFICIENT_SAMPLE
Denmark Superliga,fixture,33,33,31,0.3226,0.1857,0.4986,-1.976,0.04819,-0.2697,-0.8,-1.1389,0.5996,2.1058,7779.9,-0.0021,2.846,-1.7533,1.0,0.7419,0.4516,31,-1.7214,-0.6173,0.3548,2.1826,2.2313,INSUFFICIENT_SAMPLE
Finland Veikkausliiga,fixture,31,31,29,0.6552,0.4734,0.8006,1.671,0.09467,1.6379,0.96,0.3979,2.8779,2.931,7673.1,0.0128,3.4868,-1.875,0.8966,0.7241,0.5517,29,1.6328,0.0,0.4138,2.1079,2.081,INSUFFICIENT_SAMPLE
Ireland Premier Division,fixture,24,24,20,0.5,0.2993,0.7007,0.0,1.0,-0.5495,-0.215,-1.8434,0.7444,2.5225,8411.2,-0.0039,1.973,-3.072,0.9,0.85,0.55,20,-1.4176,0.0,0.25,1.991,2.025,INSUFFICIENT_SAMPLE
Japan J-League,fixture,60,60,55,0.7636,0.6365,0.8563,3.91,9e-05,1.8931,1.19,1.014,2.7722,2.9996,6860.0,0.0166,3.2036,-2.3408,0.8727,0.7091,0.5455,55,1.3148,0.0,0.4545,2.0178,1.9964,EARLY_SIGNAL
La Liga 2,fixture,58,58,53,0.6038,0.4694,0.7241,1.511,0.1308,0.9306,0.74,-0.076,1.9371,2.7823,7369.7,0.0076,3.0747,-2.3367,0.9057,0.7358,0.4906,53,1.7281,0.0,0.4906,2.0645,2.0372,EARLY_SIGNAL
League One,fixture,72,72,65,0.4308,0.3176,0.5517,-1.116,0.26429,-0.6417,-0.61,-1.3695,0.0861,2.3602,7826.1,-0.0049,1.9946,-2.6368,0.8615,0.7385,0.4923,65,-2.3249,-2.2831,0.2462,1.9791,2.0328,EARLY_SIGNAL
League Two,fixture,72,72,69,0.5362,0.4198,0.6489,0.602,0.54722,0.6996,0.41,-0.0857,1.4848,2.7013,7603.1,0.0055,3.1711,-2.1581,0.8986,0.7536,0.5217,69,0.3847,0.0,0.4203,1.9423,1.9426,EARLY_SIGNAL
Ligue 2,fixture,45,45,41,0.7073,0.5552,0.8239,2.655,0.00793,1.3783,1.37,0.6338,2.1228,2.208,5894.2,0.014,2.5352,-1.4175,0.8537,0.6341,0.4634,41,2.5283,1.5625,0.6098,2.0044,1.959,INSUFFICIENT_SAMPLE
Mexico Liga MX,fixture,50,50,49,0.6735,0.5338,0.7879,2.429,0.01516,1.6957,1.46,0.9111,2.4804,2.3757,7652.3,0.0133,3.0227,-1.0413,0.7959,0.6939,0.4286,49,2.292,0.8969,0.5306,2.1292,2.0841,EARLY_SIGNAL
Norway Eliteserien,fixture,34,34,30,0.5,0.3315,0.6685,0.0,1.0,-0.084,-0.04,-1.1725,1.0045,2.364,7001.9,-0.0007,2.28,-2.448,0.9667,0.8667,0.4,30,-0.9429,0.0,0.4333,2.4593,2.5167,INSUFFICIENT_SAMPLE
Serie B,fixture,51,51,47,0.7447,0.6049,0.8475,3.355,0.00079,2.2064,1.62,1.2348,3.1779,3.1145,7250.2,0.0183,3.5726,-1.7783,0.9362,0.7447,0.5532,47,2.974,2.4876,0.5957,2.086,2.0264,EARLY_SIGNAL
Sweden Allsvenskan,fixture,42,42,38,0.7105,0.5524,0.83,2.596,0.00944,0.8074,1.15,0.1611,1.4536,1.7779,7628.4,0.0064,1.8193,-1.6764,0.8947,0.7368,0.2632,38,1.1901,1.2061,0.5526,2.1729,2.1518,INSUFFICIENT_SAMPLE
USA MLS,fixture,104,104,89,0.5169,0.4145,0.6178,0.318,0.75049,0.0391,0.24,-0.5629,0.6411,2.2969,7223.9,0.0003,2.2598,-2.3365,0.8876,0.7416,0.4944,89,-0.9752,0.0,0.3933,2.4733,2.5242,EARLY_SIGNAL
