segment,unit,n_obs,n_fixtures,n_moved,toward_rate,toward_ci_lo,toward_ci_hi,z_vs_chance,p_value,mean_signed_move_pp,median_signed_move_pp,signed_ci_lo,signed_ci_hi,mean_abs_move_pp,mean_window_min,signed_move_per_hour_pp,mean_move_when_correct_pp,mean_move_when_wrong_pp,p_move_ge_05pp,p_move_ge_1pp,p_move_ge_2pp,n_clv,mean_clv_pct,median_clv_pct,pct_positive_clv,mean_entry_odds,mean_close_odds,sample_status
residual < -10,fixture,105,105,91,0.5165,0.4152,0.6164,0.314,0.75315,0.4629,0.31,-0.2305,1.1562,2.6046,7452.7,0.0037,2.9696,-2.2148,0.9121,0.7802,0.5165,91,-1.0758,0.0,0.3846,2.5778,2.636,EARLY_SIGNAL
residual -10:-6,fixture,122,122,114,0.4474,0.3593,0.5389,-1.124,0.26105,-0.0549,-0.555,-0.7405,0.6306,2.6049,8005.0,-0.0004,2.85,-2.4065,0.886,0.7719,0.4912,114,-1.0995,-0.4914,0.3246,2.3349,2.3751,EARLY_SIGNAL
residual -6:-4,fixture,87,87,84,0.4762,0.3728,0.5817,-0.436,0.66252,0.3033,-0.53,-0.3417,0.9483,2.4119,8103.0,0.0022,2.851,-2.0127,0.9524,0.8095,0.4643,84,-0.6849,0.0,0.3929,2.1813,2.2112,EARLY_SIGNAL
residual -4:-2,fixture,120,120,111,0.5045,0.4129,0.5958,0.095,0.92438,-0.3254,0.27,-0.942,0.2911,2.7162,8371.8,-0.0023,2.3695,-3.0693,0.9099,0.7928,0.5495,111,-1.2678,0.0,0.4234,2.1004,2.1332,EARLY_SIGNAL
residual -2:+2,fixture,233,233,216,0.5324,0.4659,0.5978,0.953,0.3408,0.3461,0.415,-0.0758,0.768,2.501,8018.1,0.0026,2.6738,-2.3043,0.9028,0.7593,0.4815,216,0.5206,0.0,0.4722,1.9039,1.9017,RESEARCH
residual +2:+4,fixture,97,97,84,0.6548,0.5483,0.7477,2.837,0.00456,1.6585,1.36,0.9708,2.3461,2.8296,8221.2,0.0121,3.4273,-1.6962,0.9167,0.7619,0.5238,84,3.0549,1.8462,0.619,1.9674,1.9151,EARLY_SIGNAL
residual +4:+6,fixture,79,79,68,0.5882,0.4696,0.6974,1.455,0.14561,0.9384,0.78,0.2606,1.6161,2.2299,8050.5,0.007,2.693,-1.5682,0.8971,0.7353,0.3529,68,1.061,0.2632,0.5,2.0076,1.9904,EARLY_SIGNAL
residual +6:+10,fixture,86,86,82,0.7927,0.6928,0.8663,5.301,0.0,1.7307,1.525,1.0238,2.4377,2.869,8354.3,0.0124,2.9014,-2.7453,0.9268,0.7195,0.5488,82,2.1925,2.5596,0.6098,2.158,2.1285,EARLY_SIGNAL
residual > +10,fixture,38,38,35,0.8,0.6411,0.8996,3.55,0.00039,2.5054,2.13,1.1767,3.8342,3.4917,8060.0,0.0187,3.7482,-2.4657,0.9429,0.8286,0.6286,35,3.8843,2.381,0.6286,2.2386,2.168,INSUFFICIENT_SAMPLE
abs residual 0-2,fixture,233,233,216,0.5324,0.4659,0.5978,0.953,0.3408,0.3461,0.415,-0.0758,0.768,2.501,8018.1,0.0026,2.6738,-2.3043,0.9028,0.7593,0.4815,216,0.5206,0.0,0.4722,1.9039,1.9017,RESEARCH
abs residual 2-4,fixture,217,217,195,0.5692,0.4991,0.6367,1.934,0.05317,0.5292,0.76,0.0507,1.0077,2.7651,8306.9,0.0038,2.8936,-2.5952,0.9128,0.7795,0.5385,195,0.5943,0.4808,0.5077,2.0431,2.0393,RESEARCH
abs residual 4-6,fixture,166,166,152,0.5263,0.4473,0.6041,0.649,0.51641,0.5874,0.445,0.1183,1.0566,2.3305,8079.5,0.0044,2.772,-1.8399,0.9276,0.7763,0.4145,152,0.0962,0.0,0.4408,2.1036,2.1124,RESEARCH
abs residual 6-8,fixture,122,122,115,0.6261,0.5349,0.7091,2.704,0.00685,1.1133,0.81,0.3917,1.8349,2.9716,8177.8,0.0082,3.2622,-2.4849,0.9043,0.7826,0.5565,115,0.6749,0.0,0.4435,2.2037,2.2034,EARLY_SIGNAL
abs residual 8-10,fixture,86,86,81,0.5432,0.4352,0.6473,0.778,0.4367,0.0942,0.37,-0.5797,0.7681,2.3517,8113.4,0.0007,2.2514,-2.4711,0.9012,0.7037,0.4568,81,-0.286,0.0,0.4444,2.3421,2.3693,EARLY_SIGNAL
abs residual 10+,fixture,143,143,126,0.5952,0.5079,0.6769,2.138,0.03251,1.0302,0.8,0.3906,1.6699,2.851,7621.4,0.0081,3.2603,-2.2492,0.9206,0.7937,0.5476,126,0.302,0.0,0.4524,2.4836,2.506,EARLY_SIGNAL
