segment,unit,n_obs,n_fixtures,n_moved,toward_rate,toward_ci_lo,toward_ci_hi,z_vs_chance,p_value,mean_signed_move_pp,median_signed_move_pp,signed_ci_lo,signed_ci_hi,mean_abs_move_pp,mean_window_min,signed_move_per_hour_pp,mean_move_when_correct_pp,mean_move_when_wrong_pp,p_move_ge_05pp,p_move_ge_1pp,p_move_ge_2pp,n_clv,mean_clv_pct,median_clv_pct,pct_positive_clv,mean_entry_odds,mean_close_odds,sample_status,note
"overall (fixture-level, earliest entry)",fixture,605,605,538,0.5465,0.5042,0.5881,2.156,0.03111,0.5642,0.455,0.2945,0.8338,2.4171,6722.9,0.005,2.7278,-2.0428,0.8922,0.7379,0.4647,538.0,-0.0223,0.0,0.4219,2.1284,2.1401,VALIDATABLE,
"overall (snapshot-level, cluster CI)",snapshot,42457,605,36437,0.539,0.4939,0.5826,1.721,0.08527,0.4705,0.37,0.2097,0.7138,2.0407,4889.9,0.0058,2.3288,-1.7048,0.8601,0.6724,0.3796,36408.0,-0.0274,0.0,0.384,2.1382,2.1487,VALIDATABLE,
PLACEBO fixed anchor (fixture-level),fixture,538,538,538,0.5725,,,,,,,,,,,,,,,,,,,,,,,VALIDATABLE,
month 2026-08,snapshot,40318,541,35043,0.5392,0.4945,0.5858,1.685,0.09206,0.4746,0.39,0.2146,0.7351,2.0548,5003.1,0.0057,2.3445,-1.7167,0.8654,0.6787,0.385,35014.0,-0.0081,0.0,0.3899,2.1407,2.1511,VALIDATABLE,
month 2026-09,snapshot,2139,235,1394,0.5323,0.4627,0.5997,0.924,0.35559,0.3668,0.24,-0.0085,0.7527,1.685,2042.9,0.0108,1.9273,-1.4091,0.7281,0.5151,0.2425,1394.0,-0.5106,0.0,0.2346,2.0755,2.0893,RESEARCH,
week 2026-W34,snapshot,27937,322,24765,0.5465,0.4876,0.6026,1.586,0.11281,0.4989,0.42,0.1753,0.8198,2.1418,4783.6,0.0063,2.4153,-1.8113,0.8785,0.7076,0.4167,24762.0,0.0293,0.0,0.397,2.1414,2.1529,RESEARCH,
week 2026-W35,snapshot,12037,321,9974,0.5225,0.459,0.585,0.699,0.48478,0.425,0.28,0.0793,0.8193,1.8408,5592.8,0.0046,2.1666,-1.4886,0.8341,0.6086,0.3064,9948.0,-0.0803,0.0,0.3731,2.1423,2.1494,RESEARCH,
week 2026-W36,snapshot,2483,237,1698,0.5253,0.4591,0.5947,0.732,0.46424,0.3231,0.23,-0.0111,0.6867,1.7389,2310.2,0.0084,1.9626,-1.4913,0.7462,0.5336,0.2686,1698.0,-0.5436,0.0,0.2574,2.0684,2.0835,RESEARCH,
first half of sample,snapshot,35038,302,30561,0.5379,0.4858,0.593,1.387,0.16546,0.4649,0.38,0.1902,0.7756,2.0454,4841.0,0.0058,2.3324,-1.7123,0.8719,0.6899,0.3906,30535.0,-0.0082,0.0,0.389,2.142,2.153,RESEARCH,
second half of sample,snapshot,7419,303,5876,0.5444,0.48,0.6159,1.281,0.20014,0.4998,0.33,0.0394,1.0275,2.016,5144.0,0.0058,2.3099,-1.6652,0.799,0.5812,0.3222,5873.0,-0.1268,0.0,0.3579,2.1188,2.1263,RESEARCH,
