scope,n,brier_market,brier_market_wowza,logloss_market,logloss_market_wowza,wowza_helps,generated_at,calculation_version
overall,1071,0.2401,0.2402,0.6726,0.6728,False,2026-09-23T00:41:32Z,1.0.0
Argentina Primera Division,74,0.2283,0.2283,0.6478,0.6478,True,2026-09-23T00:41:32Z,1.0.0
Austrian Bundesliga,28,0.1992,0.2009,0.588,0.5921,False,2026-09-23T00:41:32Z,1.0.0
Brazil Serie A,57,0.2619,0.2618,0.7175,0.7173,True,2026-09-23T00:41:32Z,1.0.0
Bundesliga 2,45,0.2329,0.2335,0.6585,0.6597,False,2026-09-23T00:41:32Z,1.0.0
Championship,85,0.2421,0.2424,0.6772,0.6777,False,2026-09-23T00:41:32Z,1.0.0
China Super League,35,0.2012,0.2016,0.5885,0.5901,False,2026-09-23T00:41:32Z,1.0.0
Denmark Superliga,40,0.2589,0.2572,0.7129,0.7092,True,2026-09-23T00:41:32Z,1.0.0
Finland Veikkausliiga,39,0.2531,0.2525,0.6995,0.6981,True,2026-09-23T00:41:32Z,1.0.0
Ireland Premier Division,26,0.2359,0.2372,0.6647,0.6673,False,2026-09-23T00:41:32Z,1.0.0
Japan J-League,66,0.2581,0.2576,0.7098,0.7086,True,2026-09-23T00:41:32Z,1.0.0
La Liga 2,62,0.2386,0.2391,0.6703,0.6714,False,2026-09-23T00:41:32Z,1.0.0
League One,77,0.246,0.2463,0.6853,0.6858,False,2026-09-23T00:41:32Z,1.0.0
League Two,79,0.2446,0.2451,0.6824,0.6833,False,2026-09-23T00:41:32Z,1.0.0
Ligue 2,40,0.2362,0.2365,0.6653,0.6659,False,2026-09-23T00:41:32Z,1.0.0
Mexico Liga MX,60,0.2656,0.2652,0.7249,0.724,True,2026-09-23T00:41:32Z,1.0.0
Norway Eliteserien,41,0.1894,0.1911,0.5637,0.5682,False,2026-09-23T00:41:32Z,1.0.0
Serie B,51,0.2609,0.2599,0.7152,0.7132,True,2026-09-23T00:41:32Z,1.0.0
Sweden Allsvenskan,51,0.2627,0.2618,0.7199,0.7178,True,2026-09-23T00:41:32Z,1.0.0
USA MLS,115,0.2203,0.2206,0.6321,0.6327,False,2026-09-23T00:41:32Z,1.0.0
